2020-12-22 21:06:42.794 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-22 21:06:42.812 +00:00 [VRB] Using CTF runner 0.1.0-alpha.18
2020-12-22 21:06:42.814 +00:00 [VRB] Running challange S3
2020-12-22 21:06:42.830 +00:00 [VRB] Reading embedded Dictionary.embedded.gz
2020-12-22 21:06:50.812 +00:00 [INF] Bucket found: blast
2020-12-22 21:06:52.043 +00:00 [INF] Bucket found: parenting
2020-12-22 21:06:53.369 +00:00 [INF] Bucket found: internationals
2020-12-22 21:06:56.304 +00:00 [INF] Bucket found: newswatch
2020-12-22 21:06:57.787 +00:00 [INF] Bucket found: animals
2020-12-22 21:06:58.035 +00:00 [INF] Bucket found: nrss
2020-12-22 21:06:58.035 +00:00 [INF] Bucket found: titles
2020-12-22 21:06:59.272 +00:00 [INF] Bucket found: arts
2020-12-22 21:06:59.336 +00:00 [INF] Bucket found: simg
2020-12-22 21:07:00.009 +00:00 [INF] Bucket found: cha
2020-12-22 21:07:01.964 +00:00 [INF] Bucket found: real
2020-12-22 21:07:03.506 +00:00 [INF] Bucket found: button
2020-12-22 21:07:05.156 +00:00 [INF] Bucket found: islandlife
2020-12-22 21:07:05.763 +00:00 [INF] Bucket found: lic
2020-12-22 21:07:06.239 +00:00 [INF] Bucket found: ents
2020-12-22 21:07:09.225 +00:00 [INF] Bucket found: muze
2020-12-22 21:07:15.744 +00:00 [INF] Bucket found: lhn
2020-12-22 21:07:17.552 +00:00 [INF] Bucket found: basics
2020-12-22 21:07:21.719 +00:00 [INF] Bucket found: bigread
2020-12-22 21:07:22.662 +00:00 [INF] Bucket found: techniques
2020-12-22 21:07:25.089 +00:00 [INF] Bucket found: comets
2020-12-22 21:07:25.653 +00:00 [INF] Bucket found: lifecycle
2020-12-22 21:07:25.758 +00:00 [INF] Bucket found: playspace
2020-12-22 21:07:25.766 +00:00 [INF] Bucket found: disgust
2020-12-22 21:07:26.274 +00:00 [INF] Bucket found: interactives
2020-12-22 21:07:26.949 +00:00 [INF] Bucket found: promos
2020-12-22 21:07:28.229 +00:00 [INF] Bucket found: emotions
2020-12-22 21:07:29.791 +00:00 [INF] Bucket found: portuguese
2020-12-22 21:07:32.425 +00:00 [INF] Bucket found: albanian
2020-12-22 21:07:36.184 +00:00 [INF] Bucket found: grid
2020-12-22 21:07:37.445 +00:00 [INF] Bucket found: img
2020-12-22 21:07:37.481 +00:00 [INF] Bucket found: dynamo
2020-12-22 21:07:40.202 +00:00 [INF] Bucket found: 2images
2020-12-22 21:07:40.883 +00:00 [INF] Bucket found: ww2
2020-12-22 21:07:40.950 +00:00 [INF] Bucket found: vikings
2020-12-22 21:07:45.620 +00:00 [INF] Bucket found: noproblem
2020-12-22 21:07:47.410 +00:00 [INF] Bucket found: transcripts
2020-12-22 21:07:51.724 +00:00 [INF] Bucket found: catering
2020-12-22 21:08:34.451 +00:00 [INF] Bucket found: watch
2020-12-22 21:08:38.567 +00:00 [INF] Bucket found: currency
2020-12-22 21:08:40.566 +00:00 [INF] Bucket found: honey
2020-12-22 21:08:44.996 +00:00 [INF] Bucket found: apod
2020-12-22 21:08:46.568 +00:00 [INF] Bucket found: learn
2020-12-22 21:08:47.725 +00:00 [INF] Bucket found: asthma
2020-12-22 21:08:51.436 +00:00 [INF] Bucket found: purpose
2020-12-22 21:08:53.236 +00:00 [INF] Bucket found: foi
2020-12-22 21:08:55.335 +00:00 [INF] Bucket found: horizon
2020-12-22 21:09:00.114 +00:00 [INF] Bucket found: obituaries
2020-12-22 21:09:01.019 +00:00 [INF] Bucket found: phil
2020-12-22 21:09:09.536 +00:00 [INF] Bucket found: wgbh
2020-12-22 21:09:15.615 +00:00 [INF] Bucket found: readingroom
2020-12-22 21:09:23.064 +00:00 [INF] Bucket found: light
2020-12-22 21:10:00.861 +00:00 [INF] Bucket found: eco
2020-12-22 21:10:03.058 +00:00 [INF] Bucket found: womens
2020-12-22 21:10:04.871 +00:00 [INF] Bucket found: beyond
2020-12-22 21:10:12.344 +00:00 [INF] Bucket found: vitae
2020-12-22 21:10:13.318 +00:00 [INF] Bucket found: marshall
2020-12-22 21:10:13.639 +00:00 [INF] Bucket found: wwi
2020-12-22 21:10:16.974 +00:00 [INF] Bucket found: front
2020-12-22 21:10:20.494 +00:00 [INF] Bucket found: theverb
2020-12-22 21:10:22.839 +00:00 [INF] Bucket found: stry
2020-12-22 21:10:25.363 +00:00 [INF] Bucket found: marketing
2020-12-22 21:10:29.095 +00:00 [INF] Bucket found: chaucer
2020-12-22 21:10:29.467 +00:00 [INF] Bucket found: includes
2020-12-22 21:10:30.490 +00:00 [INF] Bucket found: press
2020-12-22 21:10:31.066 +00:00 [INF] Bucket found: mem
2020-12-22 21:10:36.786 +00:00 [INF] Bucket found: newsfeed
2020-12-22 21:10:36.902 +00:00 [INF] Bucket found: extranet
2020-12-22 21:10:46.842 +00:00 [INF] Bucket found: lookahead
2020-12-22 21:10:48.970 +00:00 [INF] Bucket found: evans
2020-12-22 21:10:54.477 +00:00 [INF] Bucket found: rockshow
2020-12-22 21:10:54.804 +00:00 [INF] Bucket found: issue
2020-12-22 21:11:39.698 +00:00 [INF] Bucket found: hotseat
2020-12-22 21:11:41.013 +00:00 [INF] Bucket found: liberty
2020-12-22 21:11:45.759 +00:00 [INF] Bucket found: bristol
2020-12-22 21:11:53.129 +00:00 [INF] Bucket found: diarmuid
2020-12-22 21:11:58.671 +00:00 [INF] Bucket found: pinter
2020-12-22 21:11:59.600 +00:00 [INF] Bucket found: dundee
2020-12-22 21:12:00.095 +00:00 [INF] Bucket found: brighton
2020-12-22 21:12:00.860 +00:00 [INF] Bucket found: popups
2020-12-22 21:12:04.648 +00:00 [INF] Bucket found: gfi
2020-12-22 21:12:06.167 +00:00 [INF] Bucket found: civilwar
2020-12-22 21:12:14.090 +00:00 [INF] Bucket found: acc
2020-12-22 21:12:14.521 +00:00 [INF] Bucket found: dragonsden
2020-12-22 21:12:16.688 +00:00 [INF] Bucket found: breakfast
2020-12-22 21:12:17.251 +00:00 [INF] Bucket found: pine
2020-12-22 21:12:17.422 +00:00 [INF] Bucket found: schemes
2020-12-22 21:13:06.598 +00:00 [INF] Bucket found: highhopes
2020-12-22 21:13:08.978 +00:00 [INF] Bucket found: walsall
2020-12-22 21:13:11.779 +00:00 [INF] Bucket found: pyramid
2020-12-22 21:13:13.304 +00:00 [INF] Bucket found: worldclass
2020-12-22 21:13:16.954 +00:00 [INF] Bucket found: lomo
2020-12-22 21:13:24.662 +00:00 [INF] Bucket found: wildlife
2020-12-22 21:13:29.729 +00:00 [INF] Bucket found: zanelowe
2020-12-22 21:13:30.342 +00:00 [INF] Bucket found: rivercity
2020-12-22 21:13:30.619 +00:00 [INF] Bucket found: wolves
2020-12-22 21:13:31.778 +00:00 [INF] Bucket found: tng
2020-12-22 21:13:34.822 +00:00 [INF] Bucket found: musical
2020-12-22 21:13:38.658 +00:00 [INF] Bucket found: weekender
2020-12-22 21:13:39.182 +00:00 [INF] Bucket found: slideshow
2020-12-22 21:13:41.321 +00:00 [INF] Bucket found: dl1
2020-12-22 21:13:41.641 +00:00 [INF] Bucket found: roads
2020-12-22 21:13:45.509 +00:00 [INF] Bucket found: htdocs
2020-12-22 21:13:48.581 +00:00 [INF] Bucket found: featured
2020-12-22 21:13:50.290 +00:00 [INF] Bucket found: emailcontent
2020-12-22 21:13:51.773 +00:00 [INF] Bucket found: img_70
2020-12-22 21:13:52.625 +00:00 [INF] Bucket found: educationandtraining
2020-12-22 21:13:53.021 +00:00 [INF] Bucket found: xls
2020-12-22 21:13:53.917 +00:00 [INF] Bucket found: briefs
