2020-12-22 20:58:07.493 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-22 20:58:07.510 +00:00 [VRB] Using CTF runner 0.1.0-alpha.18
2020-12-22 20:58:07.512 +00:00 [VRB] Running challange S3
2020-12-22 20:58:07.528 +00:00 [VRB] Reading embedded Dictionary.embedded.gz
2020-12-22 20:58:12.827 +00:00 [INF] Bucket found: blast
2020-12-22 20:58:14.703 +00:00 [INF] Bucket found: parenting
2020-12-22 20:58:15.964 +00:00 [INF] Bucket found: internationals
2020-12-22 20:58:18.428 +00:00 [INF] Bucket found: newswatch
2020-12-22 20:58:19.975 +00:00 [INF] Bucket found: arts
2020-12-22 20:58:20.268 +00:00 [INF] Bucket found: animals
2020-12-22 20:58:20.301 +00:00 [INF] Bucket found: nrss
2020-12-22 20:58:21.231 +00:00 [INF] Bucket found: titles
2020-12-22 20:58:22.062 +00:00 [INF] Bucket found: simg
2020-12-22 20:58:22.355 +00:00 [INF] Bucket found: cha
2020-12-22 20:58:24.949 +00:00 [INF] Bucket found: real
2020-12-22 20:58:25.257 +00:00 [INF] Bucket found: button
2020-12-22 20:58:26.818 +00:00 [INF] Bucket found: lic
2020-12-22 20:58:27.454 +00:00 [INF] Bucket found: islandlife
2020-12-22 20:58:27.977 +00:00 [INF] Bucket found: ents
2020-12-22 20:58:30.748 +00:00 [INF] Bucket found: muze
2020-12-22 20:58:31.430 +00:00 [INF] Bucket found: lhn
2020-12-22 20:58:31.741 +00:00 [INF] Bucket found: basics
2020-12-22 20:58:34.927 +00:00 [INF] Bucket found: bigread
2020-12-22 20:58:36.539 +00:00 [INF] Bucket found: techniques
2020-12-22 20:58:39.386 +00:00 [INF] Bucket found: comets
2020-12-22 20:58:39.438 +00:00 [INF] Bucket found: playspace
2020-12-22 20:58:39.681 +00:00 [INF] Bucket found: disgust
2020-12-22 20:58:39.955 +00:00 [INF] Bucket found: lifecycle
2020-12-22 20:58:40.515 +00:00 [INF] Bucket found: interactives
2020-12-22 20:58:40.918 +00:00 [INF] Bucket found: promos
2020-12-22 20:58:42.855 +00:00 [INF] Bucket found: emotions
2020-12-22 20:58:43.328 +00:00 [INF] Bucket found: portuguese
2020-12-22 20:58:47.302 +00:00 [INF] Bucket found: albanian
2020-12-22 20:58:49.876 +00:00 [INF] Bucket found: grid
2020-12-22 20:58:50.763 +00:00 [INF] Bucket found: img
2020-12-22 20:58:51.062 +00:00 [INF] Bucket found: dynamo
2020-12-22 20:58:53.628 +00:00 [INF] Bucket found: 2images
2020-12-22 20:58:54.475 +00:00 [INF] Bucket found: vikings
2020-12-22 20:58:55.818 +00:00 [INF] Bucket found: ww2
2020-12-22 20:58:59.642 +00:00 [INF] Bucket found: noproblem
2020-12-22 20:59:00.906 +00:00 [INF] Bucket found: transcripts
2020-12-22 20:59:07.833 +00:00 [INF] Bucket found: catering
2020-12-22 20:59:11.798 +00:00 [INF] Bucket found: watch
2020-12-22 20:59:14.769 +00:00 [INF] Bucket found: currency
2020-12-22 20:59:15.871 +00:00 [INF] Bucket found: honey
2020-12-22 20:59:20.687 +00:00 [INF] Bucket found: apod
2020-12-22 20:59:22.624 +00:00 [INF] Bucket found: learn
2020-12-22 20:59:23.821 +00:00 [INF] Bucket found: asthma
2020-12-22 20:59:26.232 +00:00 [DBG] Sleeping for 37 seconds. Next bed time in 1170 words
2020-12-22 21:00:09.487 +00:00 [INF] Bucket found: purpose
2020-12-22 21:00:12.167 +00:00 [INF] Bucket found: foi
2020-12-22 21:00:15.263 +00:00 [INF] Bucket found: horizon
2020-12-22 21:00:17.604 +00:00 [INF] Bucket found: phil
2020-12-22 21:00:19.704 +00:00 [INF] Bucket found: obituaries
2020-12-22 21:00:29.229 +00:00 [INF] Bucket found: wgbh
2020-12-22 21:00:38.195 +00:00 [INF] Bucket found: readingroom
2020-12-22 21:00:42.261 +00:00 [INF] Bucket found: light
2020-12-22 21:00:45.569 +00:00 [INF] Bucket found: beyond
2020-12-22 21:00:47.423 +00:00 [INF] Bucket found: womens
2020-12-22 21:00:48.572 +00:00 [INF] Bucket found: eco
2020-12-22 21:00:53.859 +00:00 [INF] Bucket found: wwi
2020-12-22 21:00:54.639 +00:00 [INF] Bucket found: vitae
2020-12-22 21:00:55.858 +00:00 [INF] Bucket found: marshall
2020-12-22 21:00:58.922 +00:00 [INF] Bucket found: front
2020-12-22 21:01:00.840 +00:00 [INF] Bucket found: theverb
2020-12-22 21:01:04.822 +00:00 [INF] Bucket found: stry
2020-12-22 21:01:04.978 +00:00 [INF] Bucket found: marketing
2020-12-22 21:01:08.147 +00:00 [INF] Bucket found: includes
2020-12-22 21:01:10.493 +00:00 [INF] Bucket found: chaucer
2020-12-22 21:01:10.866 +00:00 [INF] Bucket found: press
2020-12-22 21:01:11.538 +00:00 [INF] Bucket found: mem
2020-12-22 21:01:18.179 +00:00 [INF] Bucket found: newsfeed
2020-12-22 21:01:18.480 +00:00 [INF] Bucket found: extranet
2020-12-22 21:01:27.696 +00:00 [INF] Bucket found: lookahead
2020-12-22 21:01:34.160 +00:00 [INF] Bucket found: evans
2020-12-22 21:01:34.628 +00:00 [INF] Bucket found: rockshow
2020-12-22 21:01:36.393 +00:00 [INF] Bucket found: liberty
2020-12-22 21:01:37.740 +00:00 [INF] Bucket found: issue
2020-12-22 21:01:37.856 +00:00 [INF] Bucket found: hotseat
2020-12-22 21:01:42.436 +00:00 [INF] Bucket found: bristol
2020-12-22 21:01:48.236 +00:00 [INF] Bucket found: diarmuid
2020-12-22 21:01:51.798 +00:00 [DBG] Sleeping for 36 seconds. Next bed time in 1755 words
2020-12-22 21:02:31.510 +00:00 [INF] Bucket found: popups
2020-12-22 21:02:31.510 +00:00 [INF] Bucket found: dundee
2020-12-22 21:02:32.792 +00:00 [INF] Bucket found: pinter
2020-12-22 21:02:36.922 +00:00 [INF] Bucket found: brighton
2020-12-22 21:02:38.791 +00:00 [INF] Bucket found: civilwar
2020-12-22 21:02:38.803 +00:00 [INF] Bucket found: gfi
2020-12-22 21:02:45.485 +00:00 [INF] Bucket found: acc
2020-12-22 21:02:46.369 +00:00 [INF] Bucket found: dragonsden
2020-12-22 21:02:48.112 +00:00 [INF] Bucket found: breakfast
2020-12-22 21:02:48.719 +00:00 [INF] Bucket found: schemes
2020-12-22 21:02:48.852 +00:00 [INF] Bucket found: pine
2020-12-22 21:02:55.889 +00:00 [INF] Bucket found: highhopes
2020-12-22 21:02:58.645 +00:00 [INF] Bucket found: pyramid
2020-12-22 21:02:59.609 +00:00 [INF] Bucket found: walsall
2020-12-22 21:03:00.551 +00:00 [INF] Bucket found: worldclass
2020-12-22 21:03:00.728 +00:00 [INF] Bucket found: lomo
2020-12-22 21:03:09.577 +00:00 [INF] Bucket found: wildlife
2020-12-22 21:03:16.508 +00:00 [INF] Bucket found: zanelowe
2020-12-22 21:03:16.802 +00:00 [INF] Bucket found: rivercity
2020-12-22 21:03:18.129 +00:00 [INF] Bucket found: tng
2020-12-22 21:03:20.629 +00:00 [INF] Bucket found: wolves
2020-12-22 21:03:21.002 +00:00 [INF] Bucket found: musical
2020-12-22 21:03:24.820 +00:00 [INF] Bucket found: weekender
2020-12-22 21:03:25.324 +00:00 [INF] Bucket found: slideshow
2020-12-22 21:03:27.097 +00:00 [INF] Bucket found: roads
2020-12-22 21:03:28.209 +00:00 [INF] Bucket found: dl1
2020-12-22 21:03:38.800 +00:00 [INF] Bucket found: htdocs
2020-12-22 21:03:41.258 +00:00 [INF] Bucket found: featured
2020-12-22 21:03:42.879 +00:00 [INF] Bucket found: emailcontent
2020-12-22 21:03:44.754 +00:00 [INF] Bucket found: img_70
2020-12-22 21:03:46.168 +00:00 [INF] Bucket found: xls
2020-12-22 21:03:46.907 +00:00 [INF] Bucket found: educationandtraining
2020-12-22 21:03:47.577 +00:00 [INF] Bucket found: briefs
2020-12-22 21:03:51.686 +00:00 [INF] Bucket found: howtos
2020-12-22 21:03:55.826 +00:00 [INF] Bucket found: edu
2020-12-22 21:03:57.713 +00:00 [INF] Bucket found: 122
2020-12-22 21:03:58.282 +00:00 [INF] Bucket found: fckeditor
2020-12-22 21:04:02.930 +00:00 [DBG] Sleeping for 44 seconds. Next bed time in 1795 words
2020-12-22 21:04:55.441 +00:00 [DBG] Sleeping for 45 seconds. Next bed time in 1462 words
2020-12-22 21:05:44.815 +00:00 [INF] Bucket found: communications
2020-12-22 21:05:50.726 +00:00 [INF] Bucket found: pdfcatalog
2020-12-22 21:05:51.000 +00:00 [INF] Bucket found: c116
2020-12-22 21:05:56.164 +00:00 [INF] Bucket found: lre
2020-12-22 21:05:59.214 +00:00 [INF] Bucket found: animal
2020-12-22 21:05:59.382 +00:00 [INF] Bucket found: internet
