2020-12-22 19:26:30.106 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-22 19:26:30.124 +00:00 [VRB] Using CTF runner 0.1.0-alpha.18
2020-12-22 19:26:30.126 +00:00 [VRB] Running challange S3
2020-12-22 19:26:30.136 +00:00 [VRB] Reading embedded Dictionary.embedded.gz
2020-12-22 19:26:35.072 +00:00 [INF] Bucket found: blast
2020-12-22 19:26:36.683 +00:00 [INF] Bucket found: parenting
2020-12-22 19:26:38.404 +00:00 [INF] Bucket found: internationals
2020-12-22 19:26:40.450 +00:00 [INF] Bucket found: newswatch
2020-12-22 19:26:41.382 +00:00 [INF] Bucket found: arts
2020-12-22 19:26:41.562 +00:00 [INF] Bucket found: animals
2020-12-22 19:26:41.645 +00:00 [INF] Bucket found: nrss
2020-12-22 19:26:41.699 +00:00 [INF] Bucket found: titles
2020-12-22 19:26:42.844 +00:00 [INF] Bucket found: simg
2020-12-22 19:26:43.305 +00:00 [INF] Bucket found: cha
2020-12-22 19:26:45.305 +00:00 [INF] Bucket found: button
2020-12-22 19:26:45.426 +00:00 [INF] Bucket found: real
2020-12-22 19:26:46.959 +00:00 [INF] Bucket found: islandlife
2020-12-22 19:26:48.410 +00:00 [INF] Bucket found: lic
2020-12-22 19:26:49.401 +00:00 [INF] Bucket found: ents
2020-12-22 19:26:51.665 +00:00 [INF] Bucket found: muze
2020-12-22 19:26:52.393 +00:00 [INF] Bucket found: lhn
2020-12-22 19:26:52.942 +00:00 [INF] Bucket found: basics
2020-12-22 19:26:55.504 +00:00 [INF] Bucket found: bigread
2020-12-22 19:26:56.192 +00:00 [INF] Bucket found: techniques
2020-12-22 19:26:58.025 +00:00 [INF] Bucket found: disgust
2020-12-22 19:26:58.425 +00:00 [INF] Bucket found: comets
2020-12-22 19:26:58.995 +00:00 [INF] Bucket found: playspace
2020-12-22 19:26:59.241 +00:00 [INF] Bucket found: interactives
2020-12-22 19:26:59.404 +00:00 [INF] Bucket found: lifecycle
2020-12-22 19:27:00.340 +00:00 [INF] Bucket found: promos
2020-12-22 19:27:00.622 +00:00 [INF] Bucket found: emotions
2020-12-22 19:27:01.422 +00:00 [INF] Bucket found: portuguese
2020-12-22 19:27:04.695 +00:00 [INF] Bucket found: albanian
2020-12-22 19:27:08.399 +00:00 [INF] Bucket found: grid
2020-12-22 19:27:10.414 +00:00 [INF] Bucket found: img
2020-12-22 19:27:10.817 +00:00 [INF] Bucket found: dynamo
2020-12-22 19:27:13.183 +00:00 [INF] Bucket found: 2images
2020-12-22 19:27:14.115 +00:00 [INF] Bucket found: vikings
2020-12-22 19:27:15.740 +00:00 [INF] Bucket found: ww2
2020-12-22 19:27:20.102 +00:00 [INF] Bucket found: noproblem
2020-12-22 19:27:21.498 +00:00 [INF] Bucket found: transcripts
2020-12-22 19:27:27.087 +00:00 [INF] Bucket found: catering
2020-12-22 19:27:32.332 +00:00 [INF] Bucket found: watch
2020-12-22 19:27:34.489 +00:00 [INF] Bucket found: currency
2020-12-22 19:27:35.376 +00:00 [INF] Bucket found: honey
2020-12-22 19:27:39.000 +00:00 [INF] Bucket found: apod
2020-12-22 19:27:40.824 +00:00 [INF] Bucket found: learn
2020-12-22 19:27:41.115 +00:00 [INF] Bucket found: asthma
2020-12-22 19:27:42.688 +00:00 [INF] Bucket found: purpose
2020-12-22 19:27:44.039 +00:00 [INF] Bucket found: foi
2020-12-22 19:27:44.769 +00:00 [DBG] Sleeping for 35 seconds. Next bed time in 1212 words
2020-12-22 19:27:46.475 +00:00 [INF] Bucket found: phil
2020-12-22 19:27:48.520 +00:00 [INF] Bucket found: obituaries
2020-12-22 19:27:52.168 +00:00 [INF] Bucket found: wgbh
2020-12-22 19:27:59.771 +00:00 [INF] Bucket found: readingroom
2020-12-22 19:28:03.430 +00:00 [INF] Bucket found: light
2020-12-22 19:28:06.437 +00:00 [INF] Bucket found: womens
2020-12-22 19:28:06.592 +00:00 [INF] Bucket found: beyond
2020-12-22 19:28:06.876 +00:00 [INF] Bucket found: eco
2020-12-22 19:28:11.659 +00:00 [INF] Bucket found: wwi
2020-12-22 19:28:11.977 +00:00 [INF] Bucket found: vitae
2020-12-22 19:28:12.803 +00:00 [INF] Bucket found: marshall
2020-12-22 19:28:15.888 +00:00 [INF] Bucket found: theverb
2020-12-22 19:28:18.204 +00:00 [DBG] Sleeping for 32 seconds. Next bed time in 1319 words
2020-12-22 19:28:19.539 +00:00 [INF] Bucket found: stry
2020-12-22 19:28:21.148 +00:00 [INF] Bucket found: horizon
2020-12-22 19:28:21.800 +00:00 [INF] Bucket found: marketing
2020-12-22 19:28:24.368 +00:00 [INF] Bucket found: includes
2020-12-22 19:28:26.701 +00:00 [INF] Bucket found: press
2020-12-22 19:28:27.628 +00:00 [INF] Bucket found: mem
2020-12-22 19:28:29.378 +00:00 [DBG] Sleeping for 31 seconds. Next bed time in 1357 words
