2020-12-28 15:49:14.790 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-28 15:49:14.809 +00:00 [VRB] Using CTF runner 0.1.0-alpha.19
2020-12-28 15:49:14.812 +00:00 [VRB] Running challange SnowballFight
2020-12-28 15:49:14.814 +00:00 [INF] 
6,4,6,1,9,7,8,2,9,7
2020-12-28 15:49:14.815 +00:00 [INF] Player (seed) = 0... if i could only relate the random value to the position... less likely...

                                 4,0  5,0  6,0
             0,1
             0,2
             0,3
             0,4                 4,3  5,3

                  1,5  2,5  3,5  4,5  5,5
                            3,6  4,6  5,6

            
2020-12-28 15:49:14.816 +00:00 [INF] Found in page source when run with impossible difficulty level.

            <!--
                Seeds attempted:
    
<!--
    Seeds attempted:
    
    3598918112 - Not random enough
    2965028912 - Not random enough
    198039306 - Not random enough
    883431690 - Not random enough
    3730203204 - Not random enough
    2775230473 - Not random enough
    473103057 - Not random enough
    2607992296 - Not random enough
    1812412425 - Not random enough
    3705850682 - Not random enough
    2921563984 - Not random enough
    2148969569 - Not random enough
    2901795730 - Not random enough
    320371652 - Not random enough
    2365522835 - Not random enough
    1135689911 - Not random enough
    2968308025 - Not random enough
    3699656902 - Not random enough
    1989960610 - Not random enough
    3858012272 - Not random enough
    3431336726 - Not random enough
    3798974838 - Not random enough
    832550994 - Not random enough
    1365508695 - Not random enough
    1566216747 - Not random enough
    3556081906 - Not random enough
    591980168 - Not random enough
    926640672 - Not random enough
    4218821290 - Not random enough
    14373226 - Not random enough
    4030016729 - Not random enough
    2207754189 - Not random enough
    3160116580 - Not random enough
    1794249179 - Not random enough
    2061970478 - Not random enough
    1320735418 - Not random enough
    2469861780 - Not random enough
    529144275 - Not random enough
    88900582 - Not random enough
    2575679845 - Not random enough
    1845822536 - Not random enough
    2304976079 - Not random enough
    3397779116 - Not random enough
    2953438894 - Not random enough
    3202437863 - Not random enough
    327104075 - Not random enough
    457028066 - Not random enough
    1182208492 - Not random enough
    783541268 - Not random enough
    4191564099 - Not random enough
    134800054 - Not random enough
    2658701462 - Not random enough
    4293663555 - Not random enough
    3572882672 - Not random enough
    1373936495 - Not random enough
    1964738423 - Not random enough
    3092677477 - Not random enough
    2018584905 - Not random enough
    4076479635 - Not random enough
    3870551233 - Not random enough
    2753765306 - Not random enough
    4149301234 - Not random enough
    3896766417 - Not random enough
    973013720 - Not random enough
    1880899353 - Not random enough
    1303520594 - Not random enough
    3975495623 - Not random enough
    3745123700 - Not random enough
    3280111443 - Not random enough
    4063018623 - Not random enough
    2176373121 - Not random enough
    2939391669 - Not random enough
    115963025 - Not random enough
    3973932977 - Not random enough
    950493332 - Not random enough
    1580528325 - Not random enough
    2341311809 - Not random enough
    3034799577 - Not random enough
    520495873 - Not random enough
    517354915 - Not random enough
    3760238252 - Not random enough
    225839188 - Not random enough
    2682184366 - Not random enough
    726273202 - Not random enough
    1063967695 - Not random enough
    2843887348 - Not random enough
    4114001056 - Not random enough
    3333271151 - Not random enough
    4188574175 - Not random enough
    1196788164 - Not random enough
    1350207871 - Not random enough
    777273576 - Not random enough
    1366901084 - Not random enough
    1623985424 - Not random enough
    1980344363 - Not random enough
    2042032263 - Not random enough
    130696396 - Not random enough
    4140528200 - Not random enough
    2691395770 - Not random enough
    1304539464 - Not random enough
    2002443477 - Not random enough
    1036642656 - Not random enough
    740618720 - Not random enough
    4234623819 - Not random enough
    903791665 - Not random enough
    2767363177 - Not random enough
    2465410771 - Not random enough
    1022326760 - Not random enough
    2798427874 - Not random enough
    88159488 - Not random enough
    782925552 - Not random enough
    1720526800 - Not random enough
    1513295889 - Not random enough
    2849692026 - Not random enough
    3842900145 - Not random enough
    3842207624 - Not random enough
    2714862275 - Not random enough
    3742711092 - Not random enough
    75065216 - Not random enough
    3039322086 - Not random enough
    1907850729 - Not random enough
    83674987 - Not random enough
    3185830402 - Not random enough
    1041349812 - Not random enough
    2654783089 - Not random enough
    3616798675 - Not random enough
    4088632685 - Not random enough
    3161082620 - Not random enough
    3000449297 - Not random enough
    61678787 - Not random enough
    35064031 - Not random enough
    264581581 - Not random enough
    2620885276 - Not random enough
    3908431013 - Not random enough
    4007467038 - Not random enough
    2075601774 - Not random enough
    2768983116 - Not random enough
    1408541727 - Not random enough
    1215157470 - Not random enough
    4211827191 - Not random enough
    3949615369 - Not random enough
    526527640 - Not random enough
    3801077598 - Not random enough
    2067545714 - Not random enough
    416150139 - Not random enough
    973425597 - Not random enough
    4023129041 - Not random enough
    3427781211 - Not random enough
    3410286986 - Not random enough
    20605465 - Not random enough
    3956548621 - Not random enough
    2567821705 - Not random enough
    4002299612 - Not random enough
    134991513 - Not random enough
    3089916026 - Not random enough
    242664381 - Not random enough
    2689869997 - Not random enough
    2310994685 - Not random enough
    2474813774 - Not random enough
    365323518 - Not random enough
    453676985 - Not random enough
    1185396821 - Not random enough
    974975502 - Not random enough
    2496049501 - Not random enough
    2254442892 - Not random enough
    2879199612 - Not random enough
    1169732479 - Not random enough
    3054935094 - Not random enough
    4057395306 - Not random enough
    3439548447 - Not random enough
    592395520 - Not random enough
    1216770178 - Not random enough
    2659678324 - Not random enough
    1071845810 - Not random enough
    1456273230 - Not random enough
    2445099589 - Not random enough
    1810739895 - Not random enough
    3969249440 - Not random enough
    3051861846 - Not random enough
    906474824 - Not random enough
    2083906342 - Not random enough
    2989923219 - Not random enough
    1885814098 - Not random enough
    931047044 - Not random enough
    2213206214 - Not random enough
    921615884 - Not random enough
    2585354137 - Not random enough
    2072535615 - Not random enough
    1359210555 - Not random enough
    677471684 - Not random enough
    3136958336 - Not random enough
    1229319733 - Not random enough
    378486176 - Not random enough
    2553152572 - Not random enough
    1131117729 - Not random enough
    2719268015 - Not random enough
    3385266635 - Not random enough
    1226264824 - Not random enough
    3993101012 - Not random enough
    3216287472 - Not random enough
    1020261428 - Not random enough
    3855533231 - Not random enough
    3676738622 - Not random enough
    732201750 - Not random enough
    3057381412 - Not random enough
    1790493531 - Not random enough
    391767338 - Not random enough
    1661238464 - Not random enough
    2181111773 - Not random enough
    2565472382 - Not random enough
    1593808393 - Not random enough
    1601136410 - Not random enough
    2865638627 - Not random enough
    1274367087 - Not random enough
    2291596311 - Not random enough
    1893838400 - Not random enough
    4052043456 - Not random enough
    574390480 - Not random enough
    2995188187 - Not random enough
    969264186 - Not random enough
    413715343 - Not random enough
    1203124811 - Not random enough
    409656702 - Not random enough
    994698060 - Not random enough
    2423022611 - Not random enough
    539830345 - Not random enough
    3996503258 - Not random enough
    3011909071 - Not random enough
    1754155315 - Not random enough
    672389889 - Not random enough
    104178169 - Not random enough
    4028889448 - Not random enough
    1775151270 - Not random enough
    525249111 - Not random enough
    2053902411 - Not random enough
    2974872279 - Not random enough
    761451292 - Not random enough
    77714605 - Not random enough
    595404165 - Not random enough
    3028277639 - Not random enough
    375693020 - Not random enough
    2195723420 - Not random enough
    1436509526 - Not random enough
    714694470 - Not random enough
    309154780 - Not random enough
    1110574053 - Not random enough
    3383460810 - Not random enough
    3361600756 - Not random enough
    2066340975 - Not random enough
    922755812 - Not random enough
    3264482118 - Not random enough
    869205814 - Not random enough
    701143761 - Not random enough
    2173338145 - Not random enough
    659980815 - Not random enough
    3556666987 - Not random enough
    3333899779 - Not random enough
    74483368 - Not random enough
    3850268357 - Not random enough
    4084404715 - Not random enough
    1728383705 - Not random enough
    139273424 - Not random enough
    2295301334 - Not random enough
    1043875182 - Not random enough
    2435028448 - Not random enough
    3653826324 - Not random enough
    4012681502 - Not random enough
    2472342947 - Not random enough
    4186732981 - Not random enough
    2281516685 - Not random enough
    1807987323 - Not random enough
    4044207543 - Not random enough
    3877739134 - Not random enough
    2350634031 - Not random enough
    2714535818 - Not random enough
    3536281396 - Not random enough
    1919527589 - Not random enough
    2327332661 - Not random enough
    3148851449 - Not random enough
    381947507 - Not random enough
    210532293 - Not random enough
    1724847886 - Not random enough
